TIMESTAMP,STOCK,STOCKGPT WEIGHTED FAIR VALUE (PREDICTED)($),YAHOO FINANCE CURRENT PRICE($)
 12/05/26 @2am EDT ,AAPL,176.5,293.01
 12/05/26 @2am EDT ,AMZN,166.41,267.73
 12/05/26 @2am EDT ,ASTS,82.55,72.2
 12/05/26 @2am EDT ,PLUG,3.52,3.74
 12/05/26 @2am EDT ,RGTI,20.51,20.07
 12/05/26 @2am EDT ,TSLA,238.16,427.28
 12/05/26 @7am EDT ,AAPL,176.6,292.11
 12/05/26 @7am EDT ,AMZN,166.41,266.66
 12/05/26 @7am EDT ,ASTS,82.55,72.71
 12/05/26 @7am EDT ,PLUG,3.52,3.79
 12/05/26 @7am EDT ,RGTI,20.51,21.36
 12/05/26 @7am EDT ,TSLA,248.12,439.03
 12/05/26 @10am EDT ,AAPL,177.29,294.26
 12/05/26 @10am EDT ,AMZN,164.48,265.19
 12/05/26 @10am EDT ,ASTS,72.78,73.59
 12/05/26 @10am EDT ,PLUG,3.58,3.78
 12/05/26 @10am EDT ,RGTI,20.18,20.39
 12/05/26 @10am EDT ,TSLA,244.31,438.48
 12/05/26 @1 pm EDT ,AAPL,177.06,294.06
 12/05/26 @1 pm EDT ,AMZN,163.8,264.05
 12/05/26 @1 pm EDT ,ASTS,71,71.18
 12/05/26 @1 pm EDT ,PLUG,3.67,3.69
 12/05/26 @1 pm EDT ,RGTI,18.77,18.66
 12/05/26 @1 pm EDT ,TSLA,238.83,426.98
 12/05/26 @4:30pm EDT ,AAPL,177.52,294.38
 12/05/26 @4:30pm EDT ,AMZN,164.72,265.27
 12/05/26 @4:30pm EDT ,ASTS,72.96,72.88
 12/05/26 @4:30pm EDT ,PLUG,3.56,3.59
 12/05/26 @4:30pm EDT ,RGTI,19.07,19.03
 12/05/26 @4:30pm EDT ,TSLA,241.96,432.3
 12/05/26 @7 pm EDT ,AAPL,177.52,294.45
 12/05/26 @7 pm EDT ,AMZN,164.72,266.88
 12/05/26 @7 pm EDT ,ASTS,72.96,73
 12/05/26 @7 pm EDT ,PLUG,3.56,3.59
 12/05/26 @7 pm EDT ,RGTI,19.07,19.22
 12/05/26 @7 pm EDT ,TSLA,241.96,432.27
 13/05/26 @5am EDT ,AAPL,177.52,293.93
 13/05/26 @5am EDT ,AMZN,164.67,266.7
 13/05/26 @5am EDT ,ASTS,72.96,74.59
 13/05/26 @5am EDT ,PLUG,3.56,3.57
 13/05/26 @5am EDT ,RGTI,19.07,19.48
 13/05/26 @5am EDT ,TSLA,241.96,437.5
 13/05/26 @8am EDT ,AAPL,177.52,293.22
 13/05/26 @8am EDT ,AMZN,164.67,266.01
 13/05/26 @8am EDT ,ASTS,72.96,73.94
 13/05/26 @8am EDT ,PLUG,3.56,3.61
 13/05/26 @8am EDT ,RGTI,19.07,19.54
 13/05/26 @8am EDT ,TSLA,241.96,438.23
